nombre,locale,fuente_ocl,ocl_id,uuid_que_fallo,canonico_concept_id,canonico_clase,canonico_codes,canonico_uuid
Prueba de embarazo,es,sihsalus,2616,68e4c2c8-2998-4883-b2b1-80c0507c8797,13729,Test,CIEL:1945; PIH:2473; SNOMED CT:166434005,af0c5899-7386-4dc6-a2a5-d7970d7b0e6f
Psicoprofilaxis,es,sihsalus,1598,400ebbfe-bdb6-42b8-a783-226e027e2e05,28165,Misc,(sin code),b6927730-62ef-47a0-80d1-b1926ccea1b8
Puerpera,es,sihsalus,3932,15637692-2ebe-4459-96cc-9256c6ab2fa8,8422,Diagnosis,(sin code),c2b934ff-d7d1-446c-931d-137d5d11c1dd
RADIOTERAPIA,es,sihsalus,3927,322bdf2f-f5f3-4b18-ae3e-3e67ee893b25,8369,Diagnosis,(sin code),386de848-9472-4d3f-b91e-fb85e7401430
Riesgo en el Area Motora,es,sihsalus,3287,8aaea04b-8630-4c9c-83b2-bf994f541cf4,13022,Diagnosis,(sin code),e5ce5389-d3f0-4473-8232-bf3efaa43377
Riesgo en el Area de Coordinacion,es,sihsalus,3289,b45cf205-c447-4cdb-a48e-4b60d0704028,13017,Diagnosis,(sin code),e6038c25-fb2e-41ce-b117-3ed5ab413b69
Riesgo en el Area del Lenguaje,es,sihsalus,3286,8c4a9f83-4266-4b4b-b439-e69fc49819ac,13023,Diagnosis,(sin code),ed02eeec-14b1-48eb-abaf-4ad51bdae993
SÍFILIS CONGÉNITA,es,sihsalus,4820,dff1f87a-4f3e-4d6d-8bd3-c2376541023d,8073,Diagnosis,(sin code),a89283b0-59cb-472c-a615-04f79ffb96f7
Sí,es,sihsalus,5122,372a262c-8d57-4b57-ad29-b24a2941b749,1,Misc,(sin code),cf82933b-3f3f-45e7-a5ab-5d31aaee3da3
Sífilis congénita,es,sihsalus,4790,c0dbab0a-c3eb-449a-bd0d-057bea21c64c,8073,Diagnosis,(sin code),a89283b0-59cb-472c-a615-04f79ffb96f7
Sífilis materna,es,sihsalus,4789,577d26f9-7d2e-46c3-a343-58d716cb1719,31475,Misc,(sin code),9492a28c-f562-49e8-b483-245d37fca592
TORCH,es,sihsalus,5158,e865f006-5859-462a-a3f6-de489f9baef6,19044,Test,(sin code),14dfdef6-2185-4dbd-8645-d9ee8f50c248
Toma de muestra,es,sihsalus,5132,6a6510ca-cdcd-403d-8fb8-b45f999be1e4,1280,Diagnosis,(sin code),45cfb07e-c92e-4c96-9b83-86db4a7f3b37
World Health Organization Partograph,en,sihsalus,5335,cd8559ba-1159-5c7f-a42b-05f39c440b5a,13812,ConvSet,CIEL:166532,6e678173-d07c-4e45-b2e4-75e88ecf133c
